
Avg Time in [634] Ticks:, Mac TC:,76.0 us
, Encode :,15.0 us
, Mac NTC :,22.0 us
, MAC_TC+Encode EL:,91.0 us

IDLE CPU-L Info >> , CPU#0 : ,91 %
, CPU#1 : ,96  %
, CPU#2 : ,88 %
, CPU#3 : ,95 %


Tick, SFN,  SF ,MAC TC(Diff in us),  Enocde(Diff in us),  MAC_NTC(Diff in us)
3536 ,353,6,83.9199999999,36.6800000001,38.86
3537 ,353,7,77.1799999999,15.7899999999,17.4800000001
3538 ,353,8,76.66,15.2000000001,18.26
3539 ,353,9,81.0600000001,32.39,37.4299999999
3540 ,354,0,75.6800000001,11.92,17.87
3541 ,354,1,73.86,12.28,18.65
3542 ,354,2,74.38,11.76,17.8100000001
3543 ,354,3,74.45,11.5599999999,17.77
3544 ,354,4,74.41,11.95,17.84
3545 ,354,5,83.99,24.67,44.4
3546 ,354,6,74.5700000001,15.13,19.37
3547 ,354,7,76.1399999999,13.35,18.55
3548 ,354,8,73.63,12.73,18.33
3549 ,354,9,74.02,11.91,18.0299999999
3550 ,355,0,73.73,12.27,18.04
3551 ,355,1,72.6200000001,11.7899999999,17.8099999999
3552 ,355,2,74.1799999999,12.66,16.9300000001
3553 ,355,3,74.15,12.0199999999,17.0600000001
3554 ,355,4,73.08,12.6599999999,18.2000000001
3555 ,355,5,75.49,13.02,19.3999999999
3556 ,355,6,86.26,37.9199999999,39.3199999999
3557 ,355,7,77.3099999999,12.1699999999,17.9300000001
3558 ,355,8,73.7000000001,12.0700000001,17.8099999999
3559 ,355,9,74.5399999999,11.78,17.78
3560 ,356,0,72.79,23.1100000001,43.1599999999
3561 ,356,1,74.35,13.0499999999,17.29
3562 ,356,2,72.7799999999,13.34,17.87
3563 ,356,3,73.4400000001,11.98,18.0699999999
3564 ,356,4,73.92,12.99,17.22
3565 ,356,5,81.15,24.21,44.6899999999
3566 ,356,6,74.74,14.35,18.39
3567 ,356,7,75.75,12.86,19.01
3568 ,356,8,74.61,11.84,18.0699999999
3569 ,356,9,75.3199999999,12.9299999999,19.7300000001
3570 ,357,0,73.99,11.88,17.64
3571 ,357,1,73.96,13.0599999999,17.7100000001
3572 ,357,2,73.24,11.91,17.9
3573 ,357,3,73.24,11.9199999999,18.13
3574 ,357,4,75.0599999999,12.27,17.2200000001
3575 ,357,5,76.75,12.46,18.75
3576 ,357,6,86.0,38.97,41.3400000001
3577 ,357,7,74.61,12.08,17.5699999999
3578 ,357,8,75.2,12.11,18.2000000001
